2.2117,58.3487
2.2377,54.5463
2.2586,44.5694
2.2608,57.4386
2.3925,52.1798
2.4025,62.6192
2.4169,59.5372
2.4828,53.6363
2.6413,59.6112
2.8125,65.2096
2.8605,64.68
2.9663,67.2936
3.2084,61.5607
3.2201,68.223
3.2895,71.0126
3.4103,66.9326
3.4154,74.7228
3.4792,76.915
3.5396,71.1701
3.5692,75.6856
3.671,76.9526
3.6768,77.2006
3.9622,83.1304
4.0803,85.6034
4.0937,73.8229
4.0988,80.4964
4.1004,77.2945
4.1706,82.5128
4.1716,79.771
4.1876,77.8947
4.247,80.925
4.2593,81.6875
4.3762,89.1302
4.3764,78.4199
4.6529,90.3681
4.7443,85.8533
5.0589,91.7906
5.0832,99.925
5.1189,99.3386
5.2614,93.9875
5.3392,101.5221
5.4777,104.2755
5.5008,108.713
5.6086,106.119
5.7566,100.5891
5.9034,103.2617
6.0637,106.2601
6.1144,114.4398
6.2262,118.0406
6.3425,104.9338
6.3842,112.802
6.3906,113.5339
6.524,119.9244
6.6034,126.1552
6.613,124.2707
6.6601,118.9517
6.6632,118.9834
6.6881,122.8562
6.9696,117.1007
7.0134,130.2659
7.0149,124.6377
7.0195,121.3666
7.1179,133.0466
7.1712,128.7791
7.1941,126.0213
7.2623,121.9411
7.2876,124.5325
7.3746,124.0593
7.3976,124.891
7.4409,134.4267
7.4656,136.8835
7.5178,132.4441
7.5969,126.0394
7.7133,134.9861
7.7575,131.2496
7.7688,130.3747
7.9029,144.8263
7.9885,143.6265
8.034,134.0841
8.1883,138.7297
8.2035,142.4521
8.2468,140.0097
8.2472,143.5937
8.2958,142.1711
8.5788,149.2454
8.6862,156.8509
8.7304,153.6825
8.838,149.5221
8.9491,156.1942
8.9729,155.6974
9.0809,152.2516
9.3062,160.7578
9.3454,164.0922
9.4551,167.8013
9.4552,161.3239
9.5147,171.7147
9.5817,174.8797
9.5913,160.3811
9.6953,167.0446
9.85,167.0694
